source,medium,campaign,users,leads,purchases,revenue,cost,roi
yandex,cpc,prof-frontend,2806,73,12,1057000,1827336,-42.15623180411265
yandex,cpc,prof-python,3133,61,7,613196,1253608,-51.085506793192124
yandex,cpc,prof-java,2316,49,4,284590,991171,-71.2874973137834
yandex,cpc,freemium,4187,100,25,1654810,501754,229.8050439059778
yandex,cpc,prof-data-analytics,587,14,2,220264,201507,9.308361496126686
yandex,cpc,base-frontend,777,39,3,268515,191275,40.381649457587244
yandex,cpc,base-java,1051,20,1,48000,180437,-73.39791727860694
yandex,cpc,base-python,1032,28,7,476021,173465,174.41904707001413
vk,cpc,prof-python,2493,40,5,355564,145348,144.62944106558052
vk,cpc,prof-java,2178,25,2,232726,132757,75.30224394947159
yandex,cpc,prof-professions-brand,818,13,3,154287,123375,25.05531914893617
vk,cpc,prof-frontend,1393,12,0,0,111479,-100.0
vk,cpc,prof-data-analytics,1837,30,0,0,106864,-100.0
vk,cpc,freemium-frontend,2380,44,5,338083,78763,329.2408872186179
vk,cpc,freemium-python,1553,27,1,1560,64706,-97.58909529255402
vk,cpc,freemium-java,1608,24,0,0,61595,-100.0
yandex,cpc,dod-professions,283,6,1,37800,55196,-31.5167765780129
yandex,cpc,dod-frontend,332,3,0,0,48615,-100.0
vk,cpc,base-python,1450,36,1,9072,39300,-76.91603053435114
yandex,cpc,prof-professions-retarget,464,10,0,0,38308,-100.0
yandex,cpc,dod-python-java,163,3,0,0,27185,-100.0
yandex,cpc,dod-java,150,4,0,0,24775,-100.0
yandex,cpc,dod-php,119,4,1,150255,20636,628.1207598371777
yandex,cpc,dod-qa,108,0,0,0,16040,-100.0
yandex,cpc,base-professions-retarget,118,4,1,134100,9115,1371.2013165112453
vk,cpm,prof-data-analytics,180,6,0,0,4194,-100.0
telegram,cpp,base-java,200,1,1,151192,0,
vk,social,hexlet-blog,43,3,1,84000,0,
telegram,cpp,prof-python,139,4,0,0,0,
telegram,cpp,prof-frontend,28,1,0,0,0,
vk-senler,cpc,freemium,384,1,0,0,0,
admitad,cpa,admitad,1402,5,0,0,0,
vk,cpp,dod-php,20,1,0,0,0,
vc,cpp,dod-frontend,6,3,0,0,0,
telegram,cpp,dod-java,39,2,0,0,0,
telegram,cpp,prof-java,131,4,0,0,0,
telegram,cpp,dod-frontend,15,1,0,0,0,
telegram,social,dod-professions,44,2,0,0,0,
dzen,social,dzen_post,4,1,0,0,0,
vc,cpp,dod-professions,6,1,0,0,0,
instagram,social,prof-qa-auto,5,1,0,0,0,
zen,social,prof-backend,4,0,0,0,0,
twitter,social,promo,7,0,0,0,0,
zen,social,hexlet-blog,17,0,0,0,0,
telegram,cpp,base-python,365,0,0,0,0,
zen,social,prof-frontend,13,0,0,0,0,
twitter,social,hexlet-blog,7,0,0,0,0,
telegram,social,course_completed,19,0,0,0,0,
vk,cpp,intensive-python,6,0,0,0,0,
vk,social,all-courses,32,0,0,0,0,
twitter.com,social,buffer,2,0,0,0,0,
telegram,cpp,dod-php,16,0,0,0,0,
Yandex,cpm,01097402,1,0,0,0,0,
tproger,cpc,dod-frontend,513,0,0,0,0,
vk,social,general,33,0,0,0,0,
google,cpc,frontend,11,0,0,0,0,
twitter,social,devushki_v_it,7,0,0,0,0,
vk,social,hexlet.io/my,3,0,0,0,0,
Yandex,cpc,03997128,1,0,0,0,0,
telegram,social,mdtrue*studenty-mnogih-onlayn-kursov-p,1,0,0,0,0,
vk-senler,cpc,base-frontend,2,0,0,0,0,
vc,cpp,dod-php,3,0,0,0,0,
telegram,cpp,intensive-python,3,0,0,0,0,
telegram,cpp,base-frontend,350,0,0,0,0,
vk,social,course_completed,5,0,0,0,0,
telegram,cpp,prof-php,1,0,0,0,0,
partners,cpc,prof-python,1,0,0,0,0,
botmother,tg,frontend,2,0,0,0,0,
yandex-direct,cpm,00788899,1,0,0,0,0,
vk,cpm,prof-frontend,46,0,0,0,0,
vk,cpp,base-frontend,54,0,0,0,0,
yandex-direct,cpc,34668848,1,0,0,0,0,
tg,social,newdirections,1,0,0,0,0,
vk,social,base-python,47,0,0,0,0,
zen,social,promo,13,0,0,0,0,
vk,cpc,freemium,7,0,0,0,0,
facebook,cpm,freemium-en,3,0,0,0,0,
twitter,social,my-to--chto-my-skrollim-kak-programmistu,1,0,0,0,0,
twitter,social,course_completed,4,0,0,0,0,
zen,social,all-courses,9,0,0,0,0,
yandex-direct,cpc,16645437,1,0,0,0,0,
telegram,social,base-java,1,0,0,0,0,
Yandex,cpm,94599791,1,0,0,0,0,
Yandex,cpc,59988739,1,0,0,0,0,
vk,social,base-frontend,20,0,0,0,0,
admitad,cpa,442763,3,0,0,0,0,
vk,social,promo,5,0,0,0,0,
vk,cpm,java,2,0,0,0,0,
Yandex,cpc,02284027,1,0,0,0,0,
vk,social,prof-qa,2,0,0,0,0,
admitad,cpc,183258,7,0,0,0,0,
twitter.com,social,svezhiy-vzglyad-na-prohozhdenie-proektov-ot,1,0,0,0,0,
telegram,social,hexlet-blog,211,0,0,0,0,
vk,cpc,php,4,0,0,0,0,
instagram,social,prof-php,1,0,0,0,0,
telegram,social,mdtruena-hekslete-poyavilsya-esche-odin-no,1,0,0,0,0,
telegram,social,special,1,0,0,0,0,
Yandex,cpc,55670133,1,0,0,0,0,
Yandex,cpc,16951197,1,0,0,0,0,
telegram,cpm,frontend,4,0,0,0,0,
Yandex,cpc,67652027,1,0,0,0,0,
podcast,social,unpack,1,0,0,0,0,
vk-senler,cpc,dod-php,14,0,0,0,0,
vk,cpm,base,5,0,0,0,0,
yandex-direct,cpc,08062768,1,0,0,0,0,
telegram,social,kak_gumanitariyu_popast-v_it,1,0,0,0,0,
vk,social,prof-frontend,5,0,0,0,0,
vk,social,planiruy-uchebu--fokusiruysya-na-protsesse,2,0,0,0,0,
vk,social,base-java,22,0,0,0,0,
vk,social,dod-php,3,0,0,0,0,
facebook,cpc,frontend,1,0,0,0,0,
vk,cpp,dod-frontend,23,0,0,0,0,
telegram,cpm,base,3,0,0,0,0,
instagram,social,prof-data-analyst,2,0,0,0,0,
telegram,cpp,base-php,1,0,0,0,0,
vk,social,prof-rails,5,0,0,0,0,
vk.com,social,na-hekslete-poyavilas-novaya-professiya-v,1,0,0,0,0,
telegram,cpp,prof-data-analytics,3,0,0,0,0,
vk,social,kak-dzhunu-napisat-soprovoditelnoe-pis,1,0,0,0,0,
telegram,cpm,python,2,0,0,0,0,
instagram,social,all-courses,6,0,0,0,0,
slack,social,base_alg,1,0,0,0,0,
vk,social,dod-frontend,4,0,0,0,0,
vk,social,dod-professions,23,0,0,0,0,
yandex-direct,cpc,68583881,1,0,0,0,0,
telegram,social,base-python,1,0,0,0,0,
facebook,social,course_completed,2,0,0,0,0,
vk,cpc,frontend,5,0,0,0,0,
public,social,open_lectures23,1,0,0,0,0,
facebook,cpc,python,4,0,0,0,0,
vk,social,prof-python,23,0,0,0,0,
telegram,social,,1,0,0,0,0,
telegram,social,promo,8,0,0,0,0,
telegram,cpm,java,6,0,0,0,0,
instagram,social,taplink,1,0,0,0,0,
vk-senler,cpc,dod-frontend,10,0,0,0,0,
instagram,social,hexlet-blog,6,0,0,0,0,
yandex-direct,cpc,51752512,1,0,0,0,0,
vk,social,prof-data-analytics,2,0,0,0,0,
timepad,cpp,base-frontend,145,0,0,0,0,
vk-senler,cpc,dod-professions,11,0,0,0,0,
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,4,0,0,0,0,
vk,cpp,dod-career,1,0,0,0,0,
zen,social,prof-data-analytics,1,0,0,0,0,
vk,cpm,php,1,0,0,0,0,
facebook.com,social,buffer,1,0,0,0,0,
telegram.me,social,na-hekslet-poyavilis-novye-ispytaniya-v-k,1,0,0,0,0,
Yandex,cpc,87255026,1,0,0,0,0,
telegram.me,social,klassicheskaya-zadachka-fizzbuzz-na-hekslet,1,0,0,0,0,
telegram,social,kak-gumanitariy-stal-bekend-razrabotchiko,1,0,0,0,0,
mytarget,cpc,freemium,3,0,0,0,0,
rutube,social,all-courses,2,0,0,0,0,
Yandex,cpc,42790821,1,0,0,0,0,
social,youtube,chistie-funktsii,1,0,0,0,0,
zen,social,hexlet,7,0,0,0,0,
telegram,social,typescript,1,0,0,0,0,
telegram,social,glavnye-instrumenty--servisy-i-podhody,1,0,0,0,0,
vk,cpc,yaintern,5,0,0,0,0,
telegram,cpm,base_python,3,0,0,0,0,
vk,cpc,java,1,0,0,0,0,
google,cpc,freemium,2,0,0,0,0,
vk,cpm,base_python,1,0,0,0,0,
