date,organic,cost
2023-06-01,8804,233419
2023-06-02,7525,266682
2023-06-03,5018,239562
2023-06-04,2024,213016
2023-06-05,7546,229066
2023-06-06,7967,241164
2023-06-07,2398,214988
2023-06-08,8168,231724
2023-06-09,7224,209169
2023-06-10,4526,202181
2023-06-11,5069,181969
2023-06-12,6479,214326
2023-06-13,2329,217108
2023-06-14,8244,210106
2023-06-15,7390,211077
2023-06-16,7208,199100
2023-06-17,4995,194867
2023-06-18,4692,179831
2023-06-19,1714,215460
2023-06-20,8439,211729
2023-06-21,2397,210012
2023-06-22,4851,221006
2023-06-23,6884,212603
2023-06-24,4005,191180
2023-06-25,5093,215902
2023-06-26,6949,209273
2023-06-27,7874,197682
2023-06-28,7536,216255
2023-06-29,7138,229346
2023-06-30,1893,209001
