utm_source,visitors_count,leads_count,purchases_count,revenue,total_cost,cpu,cpl,cppu,roi
yandex,18444,431,67,5098838,5683798,308.16514855779656,13187.466357308585,84832.80597014926,-10.291709874277728
vk,15600,248,15,1021005,745006,47.756794871794874,3004.0564516129034,49667.066666666666,37.046547276129324
telegram,1633,15,1,151192,,,,,
vk-senler,484,1,0,0,,,,,
admitad,1414,5,0,0,,,,,
vc,17,4,0,0,,,,,
dzen,11,1,0,0,,,,,
instagram,57,1,0,0,,,,,
zen,68,0,0,0,,,,,
twitter,41,0,0,0,,,,,
twitter.com,8,0,0,0,,,,,
Yandex,24,0,0,0,,,,,
tproger,513,0,0,0,,,,,
google,13,0,0,0,,,,,
partners,5,0,0,0,,,,,
botmother,2,0,0,0,,,,,
yandex-direct,17,0,0,0,,,,,
tg,6,0,0,0,,,,,
facebook,35,0,0,0,,,,,
podcast,4,0,0,0,,,,,
vk.com,2,0,0,0,,,,,
slack,3,0,0,0,,,,,
public,1,0,0,0,,,,,
timepad,145,0,0,0,,,,,
facebook.com,2,0,0,0,,,,,
telegram.me,4,0,0,0,,,,,
mytarget,4,0,0,0,,,,,
rutube,2,0,0,0,,,,,
social,2,0,0,0,,,,,
vkontakte,4,0,0,0,,,,,
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,1,0,0,0,,,,,
zen_from_telegram,1,0,0,0,,,,,
